wallet;amount
4wQQJM9LNuhinieNAqmHuPCm8LXDTVfhx84P32nAVE9P;1000000000000
H87xi4CUqrUPXzppV3jotTmre6DyR5pCaMk5bKQQBFTg;2000000000000
CW9yRsYFhUUsbabqEZsTKArBAHn4NwDLKtJfoixAhR2u;3000000000000
BYKjdsLANftF29Rif72GRjuGxDyHDtf3JtGuuf7DPowY;4000000000000
HkXkF4wy8hc74zK6hnFeLhNZcBLj6rCk1YK25ucoo2gZ;5000000000000
H3bsRAPKZLqyihsz3Nv7LcVAPh7oWHzEUWqGfRCBPr7x;4000000000000
BUnZRgCwQwxfX4bn9PHa1p9WpJgraHKrYVATZDArYhRB;3000000000000
6CDMfMtNazHBUqaXT8wgw4agR9HaQa4QFEUujir1iz2U;2000000000000
ED82ARyZnXxHJXEfTt9yHxBtdAg7J1YFvxVC7uYuXjVM;1000000000000
HEWu693QguPFZ89qi4Zgi3yttyYqD7jDtRMcEVKtiuCQ;100000000000
